Plate,EppHatch,Well,Row,Column,Clone,Replicate,FloatSink,NumHatch,NumLeft,TotalEmb,PropHatch,Notes
5_13_19,Epp,A1,A,1,D8349,R1,Float,0,0,0,.,
5_13_19,Epp,A2,A,2,D8349,R1,Float,0,0,0,.,
5_13_19,Epp,A3,A,3,D8349,R1,Float,0,0,0,.,
5_13_19,Epp,A4,A,4,D8349,R1,Float,0,0,0,.,
5_13_19,Epp,A5,A,5,AxB,R1,Sink,0,2,2,0,
5_13_19,Epp,A6,A,6,AxB,R1,Sink,0,0,0,.,
5_13_19,Epp,A7,A,7,AxB,R1,Sink,2,0,2,1,
5_13_19,Epp,A8,A,8,AxB,R1,Sink,1,1,2,0.5,
5_13_19,Epp,A9,A,9,AxB,R1,Sink,0,0,0,.,
5_13_19,Epp,A10,A,10,AxB,R1,Sink,1,0,1,1,
5_13_19,Epp,A11,A,11,AxB,R1,Sink,0,1,1,0,
5_13_19,Epp,A12,A,12,AxB,R1,Sink,2,0,2,1,
5_13_19,Epp,B1,B,1,AxB,R1,Float,0,0,0,.,
5_13_19,Epp,B2,B,2,AxB,R1,Float,1,1,2,0.5,
5_13_19,Epp,B3,B,3,AxB,R1,Float,2,0,2,1,
5_13_19,Epp,B4,B,4,AxB,R1,Float,0,1,1,0,
5_13_19,Epp,B5,B,5,AxB,R1,Float,1,1,2,0.5,
5_13_19,Epp,B6,B,6,AxB,R1,Float,2,0,2,1,
5_13_19,Epp,B7,B,7,AxB,R1,Float,1,1,2,0.5,
5_13_19,Epp,B8,B,8,AxB,R1,Float,0,2,2,0,
5_13_19,Epp,B9,B,9,AxB,R1,Float,0,1,1,0,
5_13_19,Epp,B10,B,10,AxB,R1,Float,1,1,2,0.5,
5_13_19,Epp,B11,B,11,AxB,R1,Float,2,0,2,1,
5_13_19,Epp,B12,B,12,AxB,R1,Float,1,0,1,1,
5_13_19,Epp,C1,C,1,AxB,R1,Float,2,0,2,1,
5_13_19,Epp,C2,C,2,AxB,R1,Float,2,0,2,1,
5_13_19,Epp,C3,C,3,AxB,R1,Float,1,1,2,0.5,
