Clone,Replicate,FloatSink,EppHatch,Plate,PlateDate,Well,ID,SampleWeek,HatchDate,DaystoHatch,Vernalized,Dead,Sterile
AxB,R1,Sink,Epp,5_13_19,5/13/2019,A7,P16_A,5,7/2/2019,50,1,,1
AxB,R1,Sink,Epp,5_13_19,5/13/2019,A7,P16_B,5,7/3/2019,51,1,1,
AxB,R1,Sink,Epp,5_13_19,5/13/2019,A8,P17_A,5,7/2/2019,50,1,,
AxB,R1,Sink,Epp,5_13_19,5/13/2019,A10,P19_A,5,7/2/2019,50,1,,1
AxB,R1,Sink,Epp,5_13_19,5/13/2019,A12,P21_A,5,7/2/2019,50,1,,
AxB,R1,Sink,Epp,5_13_19,5/13/2019,A12,P21_B,5,7/3/2019,51,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B2,P23_A,5,7/2/2019,50,1,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B3,P24_A,5,7/2/2019,50,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B3,P24_B,5,7/2/2019,50,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B5,P26_A,5,7/3/2019,51,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B6,P27_A,5,7/2/2019,50,1,,1
AxB,R1,Float,Epp,5_13_19,5/13/2019,B6,P27_B,5,7/3/2019,51,1,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B7,P28_A,5,7/2/2019,50,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B10,P31_A,5,7/2/2019,50,1,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B11,P32_A,5,7/2/2019,50,1,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B11,P32_B,5,7/2/2019,50,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,B12,P33_A,5,5/20/2019,7,0,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,C1,P34_A,5,5/20/2019,7,0,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,C1,P34_B,5,7/2/2019,50,1,,
AxB,R1,Float,Epp,5_13_19,5/13/2019,C2,P35_A,5,7/2/2019,50,1,,1
AxB,R1,Float,Epp,5_13_19,5/13/2019,C2,P35_B,5,7/2/2019,50,1,1,
AxB,R1,Float,Epp,5_13_19,5/13/2019,C3,P36_A,5,7/2/2019,50,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H9,P10_A,5,7/3/2019,51,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H10,P11_A,5,7/3/2019,51,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H10,P11_B,5,7/3/2019,51,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H11,P12_A,5,7/3/2019,51,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H11,P12_B,5,7/3/2019,51,1,,1
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H12,P13_A,5,7/3/2019,51,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H3,P4_A,5,7/3/2019,51,1,1,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H4,P5_A,5,7/3/2019,51,1,,1
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H5,P6_A,5,7/3/2019,51,1,1,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H5,P6_B,5,7/3/2019,51,1,,
AxB,R2,Sink,Epp,5_13_19,5/13/2019,H6,P7_A,5,7/3/2019,51,1,,
