UnqiueID,Clone,Replicate,AxBGeno,1LiterPheno,FullGenomeSeq,FloatSink,EppHatch,Plate,ID,SampleWeek,DaystoHatch,Vernalized,Dead,Sterile,AllMale,Reproduced,Week,Check,Score,Status,Males,EmptyEpp,1EggEpp,2EggEpp,LowInd,IndCount,Notes
353,AxB,R1,,,,,Hatch,6/6/19,422,8,5,0,,,,1,5,7/16/19,1,R/Y,0,3,0,1,,,
353,AxB,R1,,,,,Hatch,6/6/19,422,8,5,0,,,,1,8,8/6/19,1,Y,0,0,0,0,,,
353,AxB,R1,,,,,Hatch,6/6/19,422,8,5,0,,,,1,11,8/27/19,1,R/Y,1,0,0,0,,,
272,AxB,R1,H,1,1,Float,Hatch,5/16/19,136_A,5,8,0,,,,1,5,6/28/19,1,R,0,0,0,0,,,
272,AxB,R1,H,1,1,Float,Hatch,5/16/19,136_A,5,8,0,,,,1,6,7/5/19,1,R,0,0,0,0,,,
272,AxB,R1,H,1,1,Float,Hatch,5/16/19,136_A,5,8,0,,,,1,7,7/12/19,1,R,0,0,0,0,,,
272,AxB,R1,H,1,1,Float,Hatch,5/16/19,136_A,5,8,0,,,,1,9,7/26/19,1,Y,0,4,0,0,,,
272,AxB,R1,H,1,1,Float,Hatch,5/16/19,136_A,5,8,0,,,,1,11,8/9/19,1,R/Y,0,0,0,0,,,
1057,AxB,R1,,,,Float,Hatch,5/16/19,136_B,5,46,1,,1,,,5,8/5/19,1,Y,0,0,0,0,,,sterile
688,AxB,R1,,,,Float,Hatch,5/16/19,138_A,5,48,1,,,1,1,8,8/28/19,1,Y,2,0,0,0,,,"all male, possibly more males"
688,AxB,R1,,,,Float,Hatch,5/16/19,138_A,5,48,1,,,1,1,5,8/7/19,1,R/Y,0,8,0,0,,,
935,AxB,R1,,,,Float,Hatch,5/16/19,138_B,5,48,1,,1,,,5,8/7/19,1,Y,0,0,0,0,,,sterile
484,AxB,R1,,,,Float,Hatch,5/16/19,139_A,5,48,1,,,,1,5,8/7/19,1,R/Y,0,10,0,0,,,
