Plate,Vern_date
5_8_19,6/28/19
5_13_19,6/28/19
5_14_19,7/12/19
5_15_19,6/28/19
5_16_19,6/28/19
5_22_19,7/12/19
5_23_19,7/12/19
6_6_19,8/2/19
5_14_19A,6/28/19
5_15_19A,6/28/19
5_15_19B,6/28/19
5_16_19A,6/28/19
5_16_19B,6/28/19
5_22_19A,7/12/19
5_22_19B,7/12/19
5_22_19C,7/12/19
5_22_19D_A,7/12/19
5_22_19D_B,7/12/19
5_22_19E,7/12/19
5_29_19A,8/2/19
5_29_19B,8/2/19
5_29_19C,8/2/19
5_29_19D,8/2/19
5_29_19E,8/2/19
5_29_19F,8/2/19
5_29_19G,8/2/19
5_29_19H,8/2/19
5_29_19I,8/2/19
5_29_19J,8/2/19
5_29_19K,8/2/19
5_31_19A,8/2/19
5_31_19B,6/28/19
6_7_19A,8/2/19
6_7_19B,8/2/19
6_7_19C,8/2/19
6_7_19D,8/2/19
6_7_19E,8/2/19
6_7_19F,8/2/19
6_7_19G,8/2/19
6_7_19H,8/2/19
5_8_19A,6/28/19
